GlobalSeq,GreatBooksSet,Evidence,PresentIn1952Set,PresentIn1990Set,EditionNotes,IsGreatBooksCoreOrExpansion,YearLabel,Year,SeqInYear,Author,Work,PlanSelection,FocusSections,Themes,ReadStrategy,IsMissingFromOriginalPlan,PlacementNote,SelectionLogic,GreatIdeas_VolI,GreatIdeas_VolII
60,Core (1952),core title,Yes,Yes,,Yes,Year 3,3,7,Euclid,Elements,Book I,Book I (Revisit these as anchors after reading the whole work),Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
61,Core (1952),core title,Yes,Yes,,Yes,Year 3,3,8,Tacitus,The Annals,,Focus: power/tyranny dynamics; corruption; Tacitean irony (sample early books + key episodes) (Read whole; then re-read these anchors),Government; State; Law; Tyranny and Despotism,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; Law,State; Tyranny and Despotism
62,Core (1952),core title,Yes,Yes,,Yes,Year 3,3,9,St. Thomas Aquinas,Summa Theologica,"Part I-II, QQ 90-97","Part I-II, QQ 90-97 (Revisit these as anchors after reading the whole work)",Reasoning; God; Justice; Law; Soul; Theology; Truth; Virtue and Vice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God; Justice; Law,Reasoning; Soul; Theology; Truth; Virtue and Vice
63,Core (1952),core title,Yes,Yes,,Yes,Year 3,3,10,Chaucer,Troilus and Cressida,,Focus: love vs honor; war cynicism; rhetoric of value (Read whole; then re-read these anchors),Courage; Honor; War and Peace; Beauty; Desire; Language; Love; Opinion,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Courage; Honor; Beauty; Desire; Language; Love,War and Peace; Opinion
64,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 3,3,11,Shakespeare,Macbeth,,Focus: Act I (witches); Act II (murder); Act V (downfall); ambition & guilt (Read whole; then re-read these anchors),Desire; Emotion; Fate; Good and Evil; Justice; Love; Tyranny and Despotism; War and Peace,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Emotion; Fate; Good and Evil; Justice; Love,Tyranny and Despotism; War and Peace
65,Core (1952),core title,Yes,Yes,,Yes,Year 3,3,12,Milton,Paradise Lost,,Focus: Books I-II (fall); IV (Eden); IX (temptation); XII (history & hope) (Read whole; then re-read these anchors),Government; Law; Liberty; Poetry; Religion; Sin; Truth; History,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; Law; Liberty; History,Poetry; Religion; Sin; Truth
66,Core (1952),core title,Yes,Yes,,Yes,Year 3,3,13,Locke,An Essay Concerning Human Understanding,"Book III, Ch. 1-3, 9-11","Book III, Ch. 1-3, 9-11 (Revisit these as anchors after reading the whole work)",Constitution; Experience; Government; Justice; Knowledge; Law; Liberty; Reasoning,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Constitution; Experience; Government; Justice; Knowledge; Law; Liberty,Reasoning
67,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 3,3,14,Kant,Science of Right,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Duty; Judgment; Law; Liberty; Metaphysics; Reasoning; Science; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Duty; Judgment; Law; Liberty,Metaphysics; Reasoning; Science; Truth
68,Core (1952),core title,Yes,Yes,,Yes,Year 3,3,15,Mill,Considerations on Representative Government,Ch. 1-6,Ch. 1-6 (Revisit these as anchors after reading the whole work),Government; Law; Democracy; Happiness; Justice; Liberty; State; Virtue and Vice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; Law; Democracy; Happiness; Justice; Liberty,State; Virtue and Vice
69,Core (1952),core title,Yes,Yes,,Yes,Year 3,3,16,Lavoisier,Elements of Chemistry,Part I,Part I (Revisit these as anchors after reading the whole work),Art; Beauty; Form; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art; Beauty; Form,Truth
70,Core (1952),core title,Yes,Yes,,Yes,Year 3,3,17,Dostoevsky,The Brothers Karamazov,Part I-II,Part I-II (Revisit these as anchors after reading the whole work),Art; Beauty; Form; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art; Beauty; Form,Truth
71,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 3,3,18,Freud,The Origin and Development of Psychoanalysis,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Sin; Desire; Emotion; Memory and Imagination; Mind; Truth; Will; God,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Emotion; God,Sin; Memory and Imagination; Mind; Truth; Will
72,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 3,3,19,Twain,Adventures of Huckleberry Finn,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Religion; Sin; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God,Religion; Sin; Truth
73,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 3,3,20,Lévi-Strauss,Structural Anthropology,Selections,Selections (Revisit these as anchors after reading the whole work),Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
74,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 3,3,21,Poincaré,Science and Hypothesis,Part I-II,Part I-II (Revisit these as anchors after reading the whole work),Science; Hypothesis; Art; Beauty; Form; Induction; Physics,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Hypothesis; Art; Beauty; Form; Induction,Science; Physics
75,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 4,4,1,Euripides,Medea,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Desire; Emotion; Fate; Good and Evil; Justice; Life and Death; Love; God,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Emotion; Fate; Good and Evil; Justice; Life and Death; Love; God,
76,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 4,4,2,Euripides,Hippolytus,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Desire; Emotion; Fate; Good and Evil; Justice; Life and Death; Love; God,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Emotion; Fate; Good and Evil; Justice; Life and Death; Love; God,
77,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 4,4,3,Euripides,Trojan Women,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Desire; Emotion; Fate; Good and Evil; Justice; Life and Death; Love; God,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Emotion; Fate; Good and Evil; Justice; Life and Death; Love; God,
78,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 4,4,4,Euripides,The Bacchantes,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Desire; Emotion; Fate; Good and Evil; Justice; Life and Death; Love; God,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Emotion; Fate; Good and Evil; Justice; Life and Death; Love; God,
79,Core (1952),core title,Yes,Yes,,Yes,Year 4,4,5,Plato,Republic,Book VI-VII,Book VI-VII (Revisit these as anchors after reading the whole work),Citizen; Democracy; Education; Good and Evil; Government; Justice; Law; Liberty,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Citizen; Democracy; Education; Good and Evil; Government; Justice; Law; Liberty,
80,Core (1952),core title,Yes,Yes,,Yes,Year 4,4,6,Plato,Theaetetus,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Dialectic; Education; Good and Evil; Government; Justice; Knowledge; Law; Love,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Dialectic; Education; Good and Evil; Government; Justice; Knowledge; Law; Love,
81,Core (1952),implicit (Aristotle works volume),Yes,Yes,,Yes,Year 4,4,7,Aristotle,Physics,"Book IV, Ch. 1-5, 10-14","Book IV, Ch. 1-5, 10-14 (Revisit these as anchors after reading the whole work)",Science; Physics; Being; Cause; Change; Form; Metaphysics; Nature,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Being; Cause; Change; Form,Science; Physics; Metaphysics; Nature
82,Core (1952),implicit (Aristotle works volume),Yes,Yes,,Yes,Year 4,4,8,Aristotle,Metaphysics,"Book I, Ch. 1-2; Book IV; Book VI, Ch. 1; Book XI, Ch. 1-4","Book I, Ch. 1-2; Book IV; Book VI, Ch. 1; Book XI, Ch. 1-4 (Revisit these as anchors after reading the whole work)",Science; Physics; Being; Metaphysics; Philosophy; Cause; Change; Form,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Being; Cause; Change; Form,Science; Physics; Metaphysics; Philosophy
83,Core (1952),core title,Yes,Yes,,Yes,Year 4,4,9,St. Augustine,Confessions,Book IX-XIII,Book IX-XIII (Revisit these as anchors after reading the whole work),God; Love; Sin; Soul; Time; Truth; Will; Religion,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God; Love,Sin; Soul; Time; Truth; Will; Religion
84,Core (1952),core title,Yes,Yes,,Yes,Year 4,4,10,St. Thomas Aquinas,Summa Theologica,"Part I, QQ 16-17, 84-88","Part I, QQ 16-17, 84-88 (Revisit these as anchors after reading the whole work)",Reasoning; God; Justice; Law; Soul; Theology; Truth; Virtue and Vice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God; Justice; Law,Reasoning; Soul; Theology; Truth; Virtue and Vice
85,Core (1952),core title,Yes,Yes,,Yes,Year 4,4,11,Montaigne,Apology for Raymond de Sebonde,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Custom and Convention; Education; Experience; Opinion; Reasoning; Truth; Virtue and Vice; God,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Custom and Convention; Education; Experience; God,Opinion; Reasoning; Truth; Virtue and Vice
86,Core (1952),core title,Yes,Yes,,Yes,Year 4,4,12,Galileo,Two New Sciences,"Third Day, through Scholium of Theorem II","Third Day, through Scholium of Theorem II (Revisit these as anchors after reading the whole work)",Science; Hypothesis; Physics; Cause; Mathematics; Mechanics; Induction,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Hypothesis; Cause; Induction,Science; Physics; Mathematics; Mechanics
87,Core (1952),core title,Yes,Yes,,Yes,Year 4,4,13,Bacon,Novum Organum,Preface; Book I,Preface; Book I (Revisit these as anchors after reading the whole work),Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
88,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 4,4,14,Descartes,Discourse on the Method,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Idea; Knowledge; Logic; Metaphysics; Mind; Reasoning; Truth; Art,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Idea; Knowledge; Logic; Art,Metaphysics; Mind; Reasoning; Truth
89,Core (1952),core title,Yes,Yes,,Yes,Year 4,4,15,Newton,Mathematical Principles of Natural Philosophy,Prefaces; Definitions; Axioms; General Scholium,Prefaces; Definitions; Axioms; General Scholium (Revisit these as anchors after reading the whole work),Cause; Mathematics; Mechanics; Physics; Science; Space; Time; Knowledge,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Cause; Knowledge,Mathematics; Mechanics; Physics; Science; Space; Time
90,Core (1952),core title,Yes,Yes,,Yes,Year 4,4,16,Locke,An Essay Concerning Human Understanding,Book II,Book II (Revisit these as anchors after reading the whole work),Constitution; Experience; Government; Justice; Knowledge; Law; Liberty; Reasoning,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Constitution; Experience; Government; Justice; Knowledge; Law; Liberty,Reasoning
91,Core (1952),core title,Yes,Yes,,Yes,Year 4,4,17,Hume,An Enquiry Concerning Human Understanding,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Cause; Experience; Induction; Knowledge; Mind; Reasoning; Truth; God,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Cause; Experience; Induction; Knowledge; God,Mind; Reasoning; Truth
92,Core (1952),core title,Yes,Yes,,Yes,Year 4,4,18,Melville,Moby-Dick,,Focus: 'Loomings'; 'The Whiteness of the Whale'; 'The Quarter-Deck'; chase & ending (Read whole; then re-read these anchors),Fate; Good and Evil; Justice; Life and Death; Nature; Truth; Art; Beauty,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Fate; Good and Evil; Justice; Life and Death; Art; Beauty,Nature; Truth
93,Core (1952),core title,Yes,Yes,,Yes,Year 4,4,19,Dostoevsky,The Brothers Karamazov,Part III-IV,Part III-IV (Revisit these as anchors after reading the whole work),Art; Beauty; Form; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art; Beauty; Form,Truth
94,Core (1952),core title,Yes,Yes,,Yes,Year 4,4,20,James,Principles of Psychology,"Ch. XV, XX","Ch. XV, XX (Revisit these as anchors after reading the whole work)",Emotion; Experience; Knowledge; Memory and Imagination; Mind; Reasoning; Truth; Will,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Emotion; Experience; Knowledge,Memory and Imagination; Mind; Reasoning; Truth; Will
95,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 4,4,21,Calvin,Institutes of the Christian Religion,Book III,Book III (Revisit these as anchors after reading the whole work),God; Religion; Theology; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God,Religion; Theology; Truth
96,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 4,4,22,Frazer,The Golden Bough,Selections,Selections (Revisit these as anchors after reading the whole work),Custom and Convention; God; Religion; Sin,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Custom and Convention; God,Religion; Sin
97,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 4,4,23,Heisenberg,Physics and Philosophy,Ch. 1-6,Ch. 1-6 (Revisit these as anchors after reading the whole work),Science; Physics; Knowledge; Truth; Hypothesis; Cause; Mechanics; Philosophy,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Hypothesis; Cause,Science; Physics; Truth; Mechanics; Philosophy
98,Core (1952),core title,Yes,Yes,,Yes,Year 4,4,24,Bacon,New Atlantis,(Short work) Focus: House of Salomon; the research-program vision,(Short work) Focus: House of Salomon; the research-program vision (Revisit these as anchors after reading the whole work),Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,Place alongside Novum Organum and Advancement of Learning,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
99,Core (1952),core title,Yes,Yes,,Yes,Year 5,5,1,Plato,Phaedo,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Being; Immortality; Knowledge; Life and Death; Soul; Truth; Dialectic; Education,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Being; Immortality; Knowledge; Life and Death; Dialectic; Education,Soul; Truth
100,Core (1952),implicit (Aristotle works volume),Yes,Yes,,Yes,Year 5,5,2,Aristotle,Categories,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Definition; Language; Logic; Quality; Quantity; Reasoning; Relation; Government,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Definition; Language; Logic; Government,Quality; Quantity; Reasoning; Relation
101,Core (1952),implicit (Aristotle works volume),Yes,Yes,,Yes,Year 5,5,3,Aristotle,On the Soul,"Book II, Ch. 1-3; Book III","Book II, Ch. 1-3; Book III (Revisit these as anchors after reading the whole work)",Mind; Soul; Life and Death; Memory and Imagination; Nature; Sense; Government; Happiness,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Life and Death; Government; Happiness,Mind; Soul; Memory and Imagination; Nature; Sense
102,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 5,5,4,Hippocrates,The Oath,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Religion; Sin; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God,Religion; Sin; Truth
103,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 5,5,5,Hippocrates,On Ancient Medicine,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Religion; Sin; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God,Religion; Sin; Truth
104,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 5,5,6,Hippocrates,"On Airs, Waters, and Places",,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Religion; Sin; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God,Religion; Sin; Truth
