Status,GlobalSeq,Year,SeqInYear,Author,Work,PlanSelection,GreatIdeas,BeforeReading,DuringReading,AfterReading,Hook,ResourceKeys,ResourceTitles,ResourceURLs,Themes,GreatBooksSet,PlacementNote
Not Started,77,4,3,Euripides,Trojan Women,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Desire; Emotion; Fate; Good and Evil; Justice; Life and Death; Love; God,"PBS Empires — The Greeks; then National Theatre — Greek Theatre Video Collection on tragedy, chorus, masks, and performance space.",Reading Greek Tragedy Online / National Theatre — use/search: “Euripides Trojan Women performance or staging discussion”,"Crash Course Theater and Drama — Greek tragedy episodes; connect stage conflict to law, family, fate, and civic order.",Watch for Desire; Emotion; Fate; Good and Evil: tragedy makes an argument by forcing incompatible goods into the same public space.,PBS_GREEKS; NAT_GREEK; CHS_TRAGEDY; CRASH_THEATER,PBS Empires — The Greeks: Crucible of Civilization; National Theatre — Greek Theatre Video Collection; Reading Greek Tragedy Online — Center for Hellenic Studies / Out of Chaos; Crash Course Theater and Drama,https://www.pbs.org/empires/thegreeks/; https://www.nationaltheatre.org.uk/learn-explore/greek-theatre-video-collection/; https://chs.harvard.edu/programs/reading-greek-tragedy-online/; https://thecrashcourse.com/topic/theaterdrama/,Desire; Emotion; Fate; Good and Evil; Justice; Life and Death; Love; God,Core (1952),
Not Started,78,4,4,Euripides,The Bacchantes,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Desire; Emotion; Fate; Good and Evil; Justice; Life and Death; Love; God,"PBS Empires — The Greeks; then National Theatre — Greek Theatre Video Collection on tragedy, chorus, masks, and performance space.",Reading Greek Tragedy Online / National Theatre — use/search: “Euripides The Bacchantes performance or staging discussion”,"Crash Course Theater and Drama — Greek tragedy episodes; connect stage conflict to law, family, fate, and civic order.",Watch for Desire; Emotion; Fate; Good and Evil: tragedy makes an argument by forcing incompatible goods into the same public space.,PBS_GREEKS; NAT_GREEK; CHS_TRAGEDY; CRASH_THEATER,PBS Empires — The Greeks: Crucible of Civilization; National Theatre — Greek Theatre Video Collection; Reading Greek Tragedy Online — Center for Hellenic Studies / Out of Chaos; Crash Course Theater and Drama,https://www.pbs.org/empires/thegreeks/; https://www.nationaltheatre.org.uk/learn-explore/greek-theatre-video-collection/; https://chs.harvard.edu/programs/reading-greek-tragedy-online/; https://thecrashcourse.com/topic/theaterdrama/,Desire; Emotion; Fate; Good and Evil; Justice; Life and Death; Love; God,Core (1952),
Not Started,79,4,5,Plato,Republic,Book VI-VII,Citizen; Democracy; Education; Good and Evil; Government; Justice; Law; Liberty,OYC PLSC 114 — watch the Socratic citizenship / Republic lectures that match this reading.,Gregory B. Sadler — use/search: “Plato Republic text lecture core concepts”,Bryan Magee — Plato episode; then write the question Plato leaves harder than he found it.,Watch for Citizen; Democracy; Education; Good and Evil: Plato rarely hands you a doctrine first; he stages a soul learning how to ask.,OYC_POLPHIL; SADLER; MAGEE,Open Yale PLSC 114 — Introduction to Political Philosophy; Gregory B. Sadler — philosophy text lectures and core concepts; Bryan Magee — Great Philosophers / Men of Ideas interviews,https://oyc.yale.edu/political-science/plsc-114; https://www.youtube.com/@GregoryBSadler; https://www.openculture.com/2012/05/bryan_magees_in-depth_uncut_tv_conversations_with_famous_philosophers_1978-87.html,Citizen; Democracy; Education; Good and Evil; Government; Justice; Law; Liberty,Core (1952),
Not Started,80,4,6,Plato,Theaetetus,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Dialectic; Education; Good and Evil; Government; Justice; Knowledge; Law; Love,"OYC PLSC 114 — watch the opening lectures on Socrates, polis, justice, and philosophy as public danger.",Gregory B. Sadler — use/search: “Plato Theaetetus text lecture core concepts”,Bryan Magee — Plato episode; then write the question Plato leaves harder than he found it.,Watch for Dialectic; Education; Good and Evil; Government: Plato rarely hands you a doctrine first; he stages a soul learning how to ask.,OYC_POLPHIL; SADLER; MAGEE,Open Yale PLSC 114 — Introduction to Political Philosophy; Gregory B. Sadler — philosophy text lectures and core concepts; Bryan Magee — Great Philosophers / Men of Ideas interviews,https://oyc.yale.edu/political-science/plsc-114; https://www.youtube.com/@GregoryBSadler; https://www.openculture.com/2012/05/bryan_magees_in-depth_uncut_tv_conversations_with_famous_philosophers_1978-87.html,Dialectic; Education; Good and Evil; Government; Justice; Knowledge; Law; Love,Core (1952),
Not Started,81,4,7,Aristotle,Physics,"Book IV, Ch. 1-5, 10-14",Being; Cause; Change; Form; Science; Physics; Metaphysics; Nature,MIT STS.002 — ancient-to-Renaissance natural philosophy; then BBC Story of Science for the shift from nature to method.,Gregory B. Sadler — use/search: “Aristotle Physics lecture”,"Bryan Magee — Aristotle episode; then compare causes, substance, motion, and modern science.",Watch for Being; Cause; Change; Form: Aristotle makes nature thinkable by asking what change is and what must persist through it.,MIT_STS; BBC_STORY_SCI; SADLER; MAGEE,"MIT OCW STS.002 — Toward the Scientific Revolution; BBC — The Story of Science: Power, Proof and Passion; Gregory B. Sadler — philosophy text lectures and core concepts; Bryan Magee — Great Philosophers / Men of Ideas interviews",https://ocw.mit.edu/courses/sts-002-toward-the-scientific-revolution-fall-2003/; https://www.bbc.co.uk/programmes/b00s8gcf; https://www.youtube.com/@GregoryBSadler; https://www.openculture.com/2012/05/bryan_magees_in-depth_uncut_tv_conversations_with_famous_philosophers_1978-87.html,Science; Physics; Being; Cause; Change; Form; Metaphysics; Nature,Core (1952),
Not Started,82,4,8,Aristotle,Metaphysics,"Book I, Ch. 1-2; Book IV; Book VI, Ch. 1; Book XI, Ch. 1-4",Being; Cause; Change; Form; Science; Physics; Metaphysics; Philosophy,MIT STS.002 — ancient-to-Renaissance natural philosophy; then BBC Story of Science for the shift from nature to method.,Gregory B. Sadler — use/search: “Aristotle Metaphysics lecture”,"Bryan Magee — Aristotle episode; then compare causes, substance, motion, and modern science.",Watch for Being; Cause; Change; Form: Aristotle makes nature thinkable by asking what change is and what must persist through it.,MIT_STS; BBC_STORY_SCI; SADLER; MAGEE,"MIT OCW STS.002 — Toward the Scientific Revolution; BBC — The Story of Science: Power, Proof and Passion; Gregory B. Sadler — philosophy text lectures and core concepts; Bryan Magee — Great Philosophers / Men of Ideas interviews",https://ocw.mit.edu/courses/sts-002-toward-the-scientific-revolution-fall-2003/; https://www.bbc.co.uk/programmes/b00s8gcf; https://www.youtube.com/@GregoryBSadler; https://www.openculture.com/2012/05/bryan_magees_in-depth_uncut_tv_conversations_with_famous_philosophers_1978-87.html,Science; Physics; Being; Metaphysics; Philosophy; Cause; Change; Form,Core (1952),
Not Started,83,4,9,St. Augustine,Confessions,Book IX-XIII,God; Love; Sin; Soul; Time; Truth; Will; Religion,BBC Civilisation — late antique/Christian transition context; then OYC New Testament background if needed.,Gregory B. Sadler — use/search: “St. Augustine Confessions lecture”,Bryan Magee or a late-antique Christianity lecture; ask how inwardness becomes philosophical evidence.,"Watch for God; Love; Sin; Soul: Christian thought absorbs classical philosophy by relocating the drama inside memory, will, sin, grace, and time.",BBC_CIVILISATION; OYC_NT; SADLER; MAGEE,Kenneth Clark — Civilisation; Open Yale RLST 152 — Introduction to New Testament History and Literature; Gregory B. Sadler — philosophy text lectures and core concepts; Bryan Magee — Great Philosophers / Men of Ideas interviews,https://www.bbcselect.com/watch/civilisation/; https://oyc.yale.edu/religious-studies/rlst-152; https://www.youtube.com/@GregoryBSadler; https://www.openculture.com/2012/05/bryan_magees_in-depth_uncut_tv_conversations_with_famous_philosophers_1978-87.html,God; Love; Sin; Soul; Time; Truth; Will; Religion,Core (1952),
Not Started,84,4,10,St. Thomas Aquinas,Summa Theologica,"Part I, QQ 16-17, 84-88",God; Justice; Law; Reasoning; Soul; Theology; Truth; Virtue and Vice,BBC Civilisation — medieval world; then Dante in Translation for the theological-cosmic imagination Aquinas inhabits.,Gregory B. Sadler — use/search: “St. Thomas Aquinas Summa Theologica lecture”,"Bryan Magee / medieval philosophy episode; map reason, revelation, law, soul, and being.",Watch for God; Justice; Law; Reasoning: the medieval move is not anti-reason; it is reason asking where its authority comes from.,BBC_CIVILISATION; SADLER; MAGEE; OYC_DANTE,Kenneth Clark — Civilisation; Gregory B. Sadler — philosophy text lectures and core concepts; Bryan Magee — Great Philosophers / Men of Ideas interviews; Open Yale ITAL 310 — Dante in Translation,https://www.bbcselect.com/watch/civilisation/; https://www.youtube.com/@GregoryBSadler; https://www.openculture.com/2012/05/bryan_magees_in-depth_uncut_tv_conversations_with_famous_philosophers_1978-87.html; https://oyc.yale.edu/italian-language-and-literature/ital-310,Reasoning; God; Justice; Law; Soul; Theology; Truth; Virtue and Vice,Core (1952),
Not Started,85,4,11,Montaigne,Apology for Raymond de Sebonde,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Custom and Convention; Education; Experience; God; Opinion; Reasoning; Truth; Virtue and Vice,"PBS Medici for Renaissance humanism; then BBC Civilisation for print, learning, and reforming Europe.",Lecture/documentary cue — use/search: “Montaigne Apology for Raymond de Sebonde Renaissance humanism”,"Rick Steves Luther — use Reformation pressure as the background for satire, skepticism, education, and self-examination.",Watch for Custom and Convention; Education; Experience; God: Renaissance humanism reopens antiquity and discovers the self as a problem.,BBC_CIVILISATION; PBS_MEDICI; RICK_STEVES_LUTHER,Kenneth Clark — Civilisation; PBS Empires — Medici: Godfathers of the Renaissance; Rick Steves — Luther and the Reformation,https://www.bbcselect.com/watch/civilisation/; https://www.pbs.org/empires/medici/; https://www.ricksteves.com/watch-read-listen/video/tv-show/tv-specials/luther,Custom and Convention; Education; Experience; Opinion; Reasoning; Truth; Virtue and Vice; God,Core (1952),
Not Started,86,4,12,Galileo,Two New Sciences,"Third Day, through Scholium of Theorem II",Hypothesis; Cause; Induction; Science; Physics; Mathematics; Mechanics,MIT STS.002 — scientific revolution / natural philosophy context; then BBC Story of Science for the long arc of method and proof.,Lecture cue — use/search: “Galileo Two New Sciences science history lecture”,"Use OYC Astrophysics, MIT Mechanics, or NOVA as appropriate to see the modern consequence of the model.","Watch for Hypothesis; Cause; Induction; Science: science here changes what counts as explanation: model, measurement, experiment, law, and reality.",MIT_STS; BBC_STORY_SCI; OYC_ASTRO,"MIT OCW STS.002 — Toward the Scientific Revolution; BBC — The Story of Science: Power, Proof and Passion; Open Yale ASTR 160 — Frontiers and Controversies in Astrophysics",https://ocw.mit.edu/courses/sts-002-toward-the-scientific-revolution-fall-2003/; https://www.bbc.co.uk/programmes/b00s8gcf; https://oyc.yale.edu/astronomy/astr-160,Science; Hypothesis; Physics; Cause; Mathematics; Mechanics; Induction,Core (1952),
Not Started,87,4,13,Bacon,Novum Organum,Preface; Book I,Knowledge; Justice; Truth; Reasoning,"MIT STS.002 — scientific revolution context; then BBC Story of Science on method, experiment, and proof.",Lecture cue — use/search: “Francis Bacon Novum Organum scientific method lecture”,"BBC Civilisation — connect empirical method to modern power, progress, and utopian planning.",Watch for Knowledge; Justice; Truth; Reasoning: Bacon’s new organon is a program for remaking knowledge into collective power.,MIT_STS; BBC_STORY_SCI; BBC_CIVILISATION,"MIT OCW STS.002 — Toward the Scientific Revolution; BBC — The Story of Science: Power, Proof and Passion; Kenneth Clark — Civilisation",https://ocw.mit.edu/courses/sts-002-toward-the-scientific-revolution-fall-2003/; https://www.bbc.co.uk/programmes/b00s8gcf; https://www.bbcselect.com/watch/civilisation/,Truth; Knowledge; Reasoning; Justice,Core (1952),
Not Started,88,4,14,Descartes,Discourse on the Method,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Idea; Knowledge; Logic; Art; Metaphysics; Mind; Reasoning; Truth,"Bryan Magee — watch the matching philosopher/tradition episode first, or OYC Theory for the interpretive frame.",Gregory B. Sadler — use/search: “Descartes Discourse on the Method lecture”,"Return to Magee/OYC Theory; locate the break: certainty, substance, freedom, history, language, being, or value.",Watch for Idea; Knowledge; Logic; Art: modern philosophy often begins when inherited certainty becomes a problem rather than a possession.,MIT_STS; MAGEE; SADLER; OYC_THEORY; BBC_STORY_SCI,"MIT OCW STS.002 — Toward the Scientific Revolution; Bryan Magee — Great Philosophers / Men of Ideas interviews; Gregory B. Sadler — philosophy text lectures and core concepts; Open Yale ENGL 300 — Introduction to Theory of Literature; BBC — The Story of Science: Power, Proof and Passion",https://ocw.mit.edu/courses/sts-002-toward-the-scientific-revolution-fall-2003/; https://www.openculture.com/2012/05/bryan_magees_in-depth_uncut_tv_conversations_with_famous_philosophers_1978-87.html; https://www.youtube.com/@GregoryBSadler; https://oyc.yale.edu/english/engl-300; https://www.bbc.co.uk/programmes/b00s8gcf,Idea; Knowledge; Logic; Metaphysics; Mind; Reasoning; Truth; Art,Core (1952),
Not Started,89,4,15,Newton,Mathematical Principles of Natural Philosophy,Prefaces; Definitions; Axioms; General Scholium,Cause; Knowledge; Mathematics; Mechanics; Physics; Science; Space; Time,MIT STS.002 — scientific revolution / natural philosophy context; then BBC Story of Science for the long arc of method and proof.,Lecture cue — use/search: “Newton Mathematical Principles of Natural Philosophy science history lecture”,"Use OYC Astrophysics, MIT Mechanics, or NOVA as appropriate to see the modern consequence of the model.","Watch for Cause; Knowledge; Mathematics; Mechanics: science here changes what counts as explanation: model, measurement, experiment, law, and reality.",MIT_STS; BBC_STORY_SCI; OYC_ASTRO; MIT_MECH; PBS_NOVA_NEWTON,"MIT OCW STS.002 — Toward the Scientific Revolution; BBC — The Story of Science: Power, Proof and Passion; Open Yale ASTR 160 — Frontiers and Controversies in Astrophysics; MIT OCW 8.01SC — Classical Mechanics; NOVA — Newton's Dark Secrets",https://ocw.mit.edu/courses/sts-002-toward-the-scientific-revolution-fall-2003/; https://www.bbc.co.uk/programmes/b00s8gcf; https://oyc.yale.edu/astronomy/astr-160; https://ocw.mit.edu/courses/8-01sc-classical-mechanics-fall-2016/; https://www.pbs.org/wgbh/nova/newton/,Cause; Mathematics; Mechanics; Physics; Science; Space; Time; Knowledge,Core (1952),
Not Started,90,4,16,Locke,An Essay Concerning Human Understanding,Book II,Constitution; Experience; Government; Justice; Knowledge; Law; Liberty; Reasoning,OYC Political Philosophy — watch the matching author lectures; use Crash Course European History for state/revolution context.,Open Yale / lecture cue — use/search: “Locke An Essay Concerning Human Understanding political philosophy lecture”,"Harvard Justice — connect sovereignty, consent, rights, equality, and democracy to live moral-political arguments.","Watch for Constitution; Experience; Government; Justice: modern politics asks what authority remains when custom, throne, church, and nature lose automatic command.",OYC_POLPHIL; OYC_SOCIAL; HARVARD_JUSTICE; CRASH_EURO,Open Yale PLSC 114 — Introduction to Political Philosophy; Open Yale SOCY 151 — Foundations of Modern Social Theory; Harvard Justice — Michael Sandel course videos; Crash Course European History,https://oyc.yale.edu/political-science/plsc-114; https://oyc.yale.edu/sociology/socy-151; https://justiceharvard.org/; https://www.youtube.com/playlist?list=PL8dPuuaLjXtMsMTfmRomkVQG8AqrAmJFX,Constitution; Experience; Government; Justice; Knowledge; Law; Liberty; Reasoning,Core (1952),
Not Started,91,4,17,Hume,An Enquiry Concerning Human Understanding,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Cause; Experience; Induction; Knowledge; God; Mind; Reasoning; Truth,"Bryan Magee — watch the matching philosopher/tradition episode first, or OYC Theory for the interpretive frame.",Gregory B. Sadler — use/search: “Hume An Enquiry Concerning Human Understanding lecture”,"Return to Magee/OYC Theory; locate the break: certainty, substance, freedom, history, language, being, or value.",Watch for Cause; Experience; Induction; Knowledge: modern philosophy often begins when inherited certainty becomes a problem rather than a possession.,MIT_STS; MAGEE; SADLER; OYC_THEORY; BBC_STORY_SCI,"MIT OCW STS.002 — Toward the Scientific Revolution; Bryan Magee — Great Philosophers / Men of Ideas interviews; Gregory B. Sadler — philosophy text lectures and core concepts; Open Yale ENGL 300 — Introduction to Theory of Literature; BBC — The Story of Science: Power, Proof and Passion",https://ocw.mit.edu/courses/sts-002-toward-the-scientific-revolution-fall-2003/; https://www.openculture.com/2012/05/bryan_magees_in-depth_uncut_tv_conversations_with_famous_philosophers_1978-87.html; https://www.youtube.com/@GregoryBSadler; https://oyc.yale.edu/english/engl-300; https://www.bbc.co.uk/programmes/b00s8gcf,Cause; Experience; Induction; Knowledge; Mind; Reasoning; Truth; God,Core (1952),
Not Started,92,4,18,Melville,Moby-Dick,Focus: 'Loomings'; 'The Whiteness of the Whale'; 'The Quarter-Deck'; chase & ending (Read whole; then re-read these anchors),Fate; Good and Evil; Justice; Life and Death; Art; Beauty; Nature; Truth,"American Experience — Into the Deep: America, Whaling & the World; then Crash Course Literature on Moby-Dick.",Lecture cue — use/search: “Melville Moby-Dick lecture”,"Compare epic, scripture, science, capitalism, obsession, and the ocean as metaphysical theatre.",Watch for Fate; Good and Evil; Justice; Life and Death: Moby-Dick makes the universe feel like an unreadable book that men still try to master.,PBS_WHALING; CRASH_LIT; OYC_AMST,"American Experience — Into the Deep: America, Whaling & the World; Crash Course Literature; Open Yale AMST 246 — Hemingway, Fitzgerald, Faulkner",https://www.pbs.org/wgbh/americanexperience/films/whaling/; https://thecrashcourse.com/topic/literature/; https://oyc.yale.edu/american-studies/amst-246,Fate; Good and Evil; Justice; Life and Death; Nature; Truth; Art; Beauty,Core (1952),
Not Started,93,4,19,Dostoevsky,The Brothers Karamazov,Part III-IV,Art; Beauty; Form; Truth,Crash Course Literature — use the author/work video when available; otherwise use the genre/period video.,Lecture cue — use/search: “Dostoevsky The Brothers Karamazov lecture”,"Open Yale Theory of Literature or European Civilization — connect form, society, class, consciousness, and modernity.","Watch for Art; Beauty; Form; Truth: the modern novel often makes consciousness, society, and narration itself part of the argument.",CRASH_LIT; OYC_THEORY; OYC_EUROCIV,"Crash Course Literature; Open Yale ENGL 300 — Introduction to Theory of Literature; Open Yale HIST 202 — European Civilization, 1648–1945",https://thecrashcourse.com/topic/literature/; https://oyc.yale.edu/english/engl-300; https://oyc.yale.edu/history/hist-202,Art; Beauty; Form; Truth,Core (1952),
Not Started,94,4,20,James,Principles of Psychology,"Ch. XV, XX",Emotion; Experience; Knowledge; Memory and Imagination; Mind; Reasoning; Truth; Will,"OYC Psychology — lectures on consciousness, memory, self, and development; then philosophy context for pragmatism.",Lecture cue — use/search: “William James Principles of Psychology psychology pragmatism lecture”,"Bryan Magee / Sadler on pragmatism; connect experience, habit, will, truth, and practical consequences.",Watch for Emotion; Experience; Knowledge; Memory and Imagination: James makes experience primary: consciousness flows before concepts carve it up.,OYC_PSYCH; SADLER; OYC_THEORY; MAGEE,Open Yale PSYC 110 — Introduction to Psychology; Gregory B. Sadler — philosophy text lectures and core concepts; Open Yale ENGL 300 — Introduction to Theory of Literature; Bryan Magee — Great Philosophers / Men of Ideas interviews,https://oyc.yale.edu/introduction-psychology/psyc-110; https://www.youtube.com/@GregoryBSadler; https://oyc.yale.edu/english/engl-300; https://www.openculture.com/2012/05/bryan_magees_in-depth_uncut_tv_conversations_with_famous_philosophers_1978-87.html,Emotion; Experience; Knowledge; Memory and Imagination; Mind; Reasoning; Truth; Will,Core (1952),
Not Started,95,4,21,Calvin,Institutes of the Christian Religion,Book III,God; Religion; Theology; Truth,"Rick Steves — Luther and the Reformation; then PBS Battle for the Bible for scripture, authority, and conflict.",Lecture cue — use/search: “Calvin Institutes of the Christian Religion theology lecture”,"BBC Civilisation — Reformation/modern religion context; compare reform, grace, authority, and institutional rupture.","Watch for God; Religion; Theology; Truth: the question is how revelation can speak without being domesticated by culture, church, or self.",RICK_STEVES_LUTHER; PBS_BATTLE_BIBLE; BBC_CIVILISATION; SADLER,Rick Steves — Luther and the Reformation; PBS Secrets of the Dead — Battle for the Bible; Kenneth Clark — Civilisation; Gregory B. Sadler — philosophy text lectures and core concepts,https://www.ricksteves.com/watch-read-listen/video/tv-show/tv-specials/luther; https://www.pbs.org/wnet/secrets/battle-for-the-bible-about-the-episode/7154/; https://www.bbcselect.com/watch/civilisation/; https://www.youtube.com/@GregoryBSadler,God; Religion; Theology; Truth,Expansion (1990),
Not Started,96,4,22,Frazer,The Golden Bough,Selections,Custom and Convention; God; Religion; Sin,Crash Course World History on myth/religion/culture; then OYC Theory for mythic interpretation.,Lecture cue — use/search: “Frazer The Golden Bough lecture”,"Connect ritual, myth, sacrifice, magic, and modern anthropology to Eliot and structuralism.",Watch for Custom and Convention; God; Religion; Sin: Frazer gathers old ritual patterns that later modernists turn into literary machinery.,OYC_THEORY; CRASH_WORLD; BBC_CIVILISATION,Open Yale ENGL 300 — Introduction to Theory of Literature; Crash Course World History; Kenneth Clark — Civilisation,https://oyc.yale.edu/english/engl-300; https://www.youtube.com/playlist?list=PLBDA2E52FB1EF80C9; https://www.bbcselect.com/watch/civilisation/,Custom and Convention; God; Religion; Sin,Expansion (1990),
Not Started,97,4,23,Heisenberg,Physics and Philosophy,Ch. 1-6,Knowledge; Hypothesis; Cause; Science; Physics; Truth; Mechanics; Philosophy,MIT STS.002 — scientific revolution / natural philosophy context; then BBC Story of Science for the long arc of method and proof.,Lecture cue — use/search: “Heisenberg Physics and Philosophy science history lecture”,"Use OYC Astrophysics, MIT Mechanics, or NOVA as appropriate to see the modern consequence of the model.","Watch for Knowledge; Hypothesis; Cause; Science: science here changes what counts as explanation: model, measurement, experiment, law, and reality.",MIT_STS; BBC_STORY_SCI; OYC_ASTRO; PBS_NOVA_EINSTEIN,"MIT OCW STS.002 — Toward the Scientific Revolution; BBC — The Story of Science: Power, Proof and Passion; Open Yale ASTR 160 — Frontiers and Controversies in Astrophysics; NOVA — Inside Einstein's Mind",https://ocw.mit.edu/courses/sts-002-toward-the-scientific-revolution-fall-2003/; https://www.bbc.co.uk/programmes/b00s8gcf; https://oyc.yale.edu/astronomy/astr-160; https://www.pbs.org/video/nova-inside-einsteins-mind/,Science; Physics; Knowledge; Truth; Hypothesis; Cause; Mechanics; Philosophy,Expansion (1990),
Not Started,98,4,24,Bacon,New Atlantis,(Short work) Focus: House of Salomon; the research-program vision,Knowledge; Justice; Truth; Reasoning,"MIT STS.002 — scientific revolution context; then BBC Story of Science on method, experiment, and proof.",Lecture cue — use/search: “Francis Bacon New Atlantis scientific method lecture”,"BBC Civilisation — connect empirical method to modern power, progress, and utopian planning.",Watch for Knowledge; Justice; Truth; Reasoning: Bacon’s new organon is a program for remaking knowledge into collective power.,MIT_STS; BBC_STORY_SCI; BBC_CIVILISATION,"MIT OCW STS.002 — Toward the Scientific Revolution; BBC — The Story of Science: Power, Proof and Passion; Kenneth Clark — Civilisation",https://ocw.mit.edu/courses/sts-002-toward-the-scientific-revolution-fall-2003/; https://www.bbc.co.uk/programmes/b00s8gcf; https://www.bbcselect.com/watch/civilisation/,Truth; Knowledge; Reasoning; Justice,Core (1952),Place alongside Novum Organum and Advancement of Learning
Not Started,99,5,1,Plato,Phaedo,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Being; Immortality; Knowledge; Life and Death; Dialectic; Education; Soul; Truth,"OYC PLSC 114 — watch the opening lectures on Socrates, polis, justice, and philosophy as public danger.",Gregory B. Sadler — use/search: “Plato Phaedo text lecture core concepts”,Bryan Magee — Plato episode; then write the question Plato leaves harder than he found it.,Watch for Being; Immortality; Knowledge; Life and Death: Plato rarely hands you a doctrine first; he stages a soul learning how to ask.,OYC_POLPHIL; SADLER; MAGEE; OYC_DEATH,Open Yale PLSC 114 — Introduction to Political Philosophy; Gregory B. Sadler — philosophy text lectures and core concepts; Bryan Magee — Great Philosophers / Men of Ideas interviews; Open Yale PHIL 176 — Death,https://oyc.yale.edu/political-science/plsc-114; https://www.youtube.com/@GregoryBSadler; https://www.openculture.com/2012/05/bryan_magees_in-depth_uncut_tv_conversations_with_famous_philosophers_1978-87.html; https://oyc.yale.edu/death/phil-176,Being; Immortality; Knowledge; Life and Death; Soul; Truth; Dialectic; Education,Core (1952),
Not Started,100,5,2,Aristotle,Categories,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Definition; Language; Logic; Government; Quality; Quantity; Reasoning; Relation,OYC PLSC 114 — Aristotle/polis context; then Bryan Magee for the philosopher’s overall architecture.,Gregory B. Sadler — use/search: “Aristotle Categories lecture”,"Trace the terms Aristotle gives later thinkers: category, cause, substance, habit, virtue, and reason.","Watch for Definition; Language; Logic; Government: Aristotle supplies grammar for the conversation: what kind of thing is this, and what is it for?",SADLER; MAGEE; OYC_POLPHIL,Gregory B. Sadler — philosophy text lectures and core concepts; Bryan Magee — Great Philosophers / Men of Ideas interviews; Open Yale PLSC 114 — Introduction to Political Philosophy,https://www.youtube.com/@GregoryBSadler; https://www.openculture.com/2012/05/bryan_magees_in-depth_uncut_tv_conversations_with_famous_philosophers_1978-87.html; https://oyc.yale.edu/political-science/plsc-114,Definition; Language; Logic; Quality; Quantity; Reasoning; Relation; Government,Core (1952),
Not Started,101,5,3,Aristotle,On the Soul,"Book II, Ch. 1-3; Book III",Life and Death; Government; Happiness; Mind; Soul; Memory and Imagination; Nature; Sense,MIT STS.002 on ancient natural philosophy; then OYC Evolution/Ecology for the later biological frame.,Gregory B. Sadler — use/search: “Aristotle On the Soul lecture”,Compare Aristotle’s living forms with Darwinian descent and modern biological explanation.,"Watch for Life and Death; Government; Happiness; Mind: life is treated as organized power: nutrition, perception, motion, reproduction, and thought.",MIT_STS; OYC_EEB; SADLER; MAGEE,"MIT OCW STS.002 — Toward the Scientific Revolution; Open Yale E&EB 122 — Principles of Evolution, Ecology and Behavior; Gregory B. Sadler — philosophy text lectures and core concepts; Bryan Magee — Great Philosophers / Men of Ideas interviews",https://ocw.mit.edu/courses/sts-002-toward-the-scientific-revolution-fall-2003/; https://oyc.yale.edu/ecology-and-evolutionary-biology/eeb-122; https://www.youtube.com/@GregoryBSadler; https://www.openculture.com/2012/05/bryan_magees_in-depth_uncut_tv_conversations_with_famous_philosophers_1978-87.html,Mind; Soul; Life and Death; Memory and Imagination; Nature; Sense; Government; Happiness,Core (1952),
Not Started,102,5,4,Hippocrates,The Oath,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Religion; Sin; Truth,MIT STS.002 — ancient medicine/natural philosophy; then OYC Epidemics for medicine as social knowledge.,Lecture cue — use/search: “Hippocrates The Oath history of medicine lecture”,"BBC Story of Science — compare observation, prognosis, anatomy, circulation, and experimental medicine.","Watch for God; Religion; Sin; Truth: medicine enters the conversation as disciplined attention to bodies, causes, signs, and practice.",MIT_STS; OYC_MEDICINE; BBC_STORY_SCI,"MIT OCW STS.002 — Toward the Scientific Revolution; Open Yale HIST 234 — Epidemics in Western Society Since 1600; BBC — The Story of Science: Power, Proof and Passion",https://ocw.mit.edu/courses/sts-002-toward-the-scientific-revolution-fall-2003/; https://oyc.yale.edu/history/hist-234; https://www.bbc.co.uk/programmes/b00s8gcf,God; Religion; Sin; Truth,Core (1952),
